Time (s) H=2.0cm,Position (m) H=2.0cm,Velocity (m/s) H=2.0cm,Acceleration (m/sÂ²) H=2.0cm,Ping Echo Time (s) H=2.0cm
0,0.263,,,0.001531
0.02,0.263,0,,0.00153
0.04,0.263,0,0.112,0.00153
0.06,0.263,0,0.05,0.00153
0.08,0.263,0,0.001,0.00153
0.1,0.263,5.48E-05,-0.035,0.00153
0.12,0.263,0,-0.049,0.00153
0.14,0.263,0,-0.026,0.00153
0.16,0.263,0,0.035,0.001529
0.18,0.263,0,0.061,0.001529
0.2,0.263,0,0.026,0.001529
0.22,0.263,5.49E-05,-0.024,0.001529
0.24,0.263,0,-0.014,0.00153
0.26,0.263,0,0.047,0.001528
0.28,0.263,0,0.062,0.001529
0.3,0.263,0,0.003,0.001529
0.32,0.263,0,-0.083,0.00153
0.34,0.263,0,-0.109,0.001529
0.36,0.263,0,-0.058,0.00153
0.38,0.263,0,-0.092,0.001528
0.4,0.263,0,-0.19,0.001528
0.42,0.263,-0.01,-0.221,0.001528
0.44,0.263,-0.02,-0.057,0.001528
0.46,0.261,-0.02,0.189,0.001518
0.48,0.263,-0.01,0.234,0.001526
0.5,0.261,0,0.347,0.001519
0.52,0.262,0,0.646,0.001522
0.54,0.262,0.02,0.939,0.001521
0.56,0.262,0.05,0.767,0.001522
0.58,0.264,0.06,0.057,0.001535
0.6,0.265,0.05,-0.513,0.001541
0.62,0.266,0.03,-0.542,0.001544
0.64,0.266,0.02,-0.122,0.001547
0.66,0.266,0.03,0.273,0.001547
0.68,0.267,0.04,0.328,0.001552
0.7,0.268,0.04,0.194,0.001557
0.72,0.269,0.04,0.106,0.001562
0.74,0.269,0.04,0.153,0.001567
0.76,0.27,0.05,0.206,0.001571
0.78,0.271,0.05,0.134,0.001578
0.8,0.273,0.05,0.058,0.001585
0.82,0.274,0.05,0.092,0.001591
0.84,0.274,0.06,0.18,0.001596
0.86,0.276,0.06,0.171,0.001604
0.88,0.277,0.07,0.072,0.001612
0.9,0.278,0.06,0.072,0.001619
0.92,0.28,0.06,0.06,0.001627
0.94,0.281,0.07,0.061,0.001634
0.96,0.282,0.06,0.03,0.001641
0.98,0.285,0.07,0.159,0.001655
1,0.284,0.07,0.369,0.00165
1.02,0.288,0.09,0.38,0.001675
1.04,0.287,0.09,0.418,0.00167
1.06,0.292,0.09,0.405,0.001696
1.08,0.291,0.11,0.44,0.001694
1.1,0.295,0.12,0.218,0.001716
1.12,0.297,0.12,-0.138,0.001728
1.14,0.3,0.11,-0.282,0.001742
1.16,0.302,0.1,-0.123,0.001754
1.18,0.304,0.1,0.234,0.001767
1.2,0.306,0.12,0.365,0.001776
1.22,0.308,0.12,0.211,0.001792
1.24,0.311,0.12,0.02,0.00181
1.26,0.313,0.12,0.098,0.00182
1.28,0.316,0.12,0.309,0.001835
1.3,0.318,0.14,0.343,0.001849
1.32,0.321,0.14,0.148,0.001867
1.34,0.324,0.14,0.031,0.001884
1.36,0.327,0.14,0.126,0.0019
1.38,0.329,0.15,0.252,0.001914
1.4,0.333,0.15,0.219,0.001934
1.42,0.336,0.16,0.12,0.001952
1.44,0.339,0.15,0.095,0.001969
1.46,0.342,0.16,0.108,0.001988
1.48,0.345,0.16,0.096,0.002006
1.5,0.348,0.16,0.08,0.002026
1.52,0.352,0.16,0.141,0.002044
1.54,0.355,0.17,0.192,0.002063
1.56,0.358,0.17,0.169,0.002083
1.58,0.362,0.17,0.12,0.002104
1.6,0.365,0.18,0.106,0.002124
1.62,0.369,0.18,0.13,0.002144
1.64,0.373,0.18,0.154,0.002166
1.66,0.376,0.18,0.177,0.002187
1.68,0.38,0.19,0.215,0.002208
1.7,0.384,0.19,0.219,0.002231
1.72,0.388,0.2,0.15,0.002254
1.74,0.391,0.2,0.029,0.002276
1.76,0.396,0.2,-0.073,0.002302
1.78,0.399,0.2,-0.045,0.002323
1.8,0.403,0.19,-0.085,0.002346
1.82,0.407,0.2,-0.27,0.002369
1.84,0.411,0.19,-0.365,0.002392
1.86,0.416,0.17,-0.081,0.002416
1.88,0.418,0.18,0.669,0.002427
1.9,0.422,0.2,1.265,0.002453
1.92,0.426,0.24,1.291,0.002478
1.94,0.431,0.26,0.692,0.002503
1.96,0.438,0.27,-0.099,0.002545
1.98,0.442,0.25,-0.458,0.002569
2,0.447,0.24,-0.401,0.0026
2.02,0.452,0.24,-0.098,0.002625
2.04,0.457,0.24,0.138,0.002655
2.06,0.461,0.24,0.231,0.00268
2.08,0.466,0.25,0.18,0.00271
2.1,0.471,0.25,-0.018,0.00274
2.12,0.476,0.25,-0.118,0.002769
2.14,0.481,0.24,0.017,0.002797
2.16,0.486,0.25,0.29,0.002826
2.18,0.49,0.26,0.428,0.002852
2.2,0.496,0.27,0.289,0.002886
2.22,0.502,0.27,0.076,0.002917
2.24,0.507,0.27,0.005,0.002948
2.26,0.512,0.27,0.1,0.002979
2.28,0.518,0.27,0.205,0.00301
2.3,0.523,0.28,0.185,0.003041
2.32,0.529,0.28,0.099,0.003074
2.34,0.534,0.28,0.046,0.003108
2.36,0.54,0.28,0.068,0.003139
2.38,0.546,0.28,0.116,0.003172
2.4,0.551,0.29,0.153,0.003205
2.42,0.557,0.29,0.179,0.003239
2.44,0.563,0.29,0.184,0.003272
2.46,0.569,0.3,0.125,0.003307
2.48,0.575,0.3,0.047,0.003342
2.5,0.581,0.3,0.04,0.003377
2.52,0.587,0.3,0.124,0.003411
2.54,0.593,0.3,0.214,0.003446
2.56,0.599,0.31,0.231,0.003482
2.58,0.605,0.31,0.185,0.003518
2.6,0.611,0.32,0.111,0.003555
2.62,0.618,0.32,0.058,0.003592
2.64,0.624,0.32,0.066,0.003629
2.66,0.63,0.32,0.127,0.003666
2.68,0.637,0.32,0.181,0.003702
2.7,0.643,0.33,0.159,0.00374
2.72,0.65,0.33,0.108,0.003779
2.74,0.657,0.33,0.093,0.003817
2.76,0.663,0.33,0.118,0.003856
2.78,0.67,0.34,0.132,0.003894
2.8,0.677,0.34,0.119,0.003935
2.82,0.683,0.34,0.119,0.003973
2.84,0.69,0.34,0.119,0.004014
2.86,0.697,0.35,0.12,0.004053
2.88,0.704,0.35,0.107,0.004095
2.9,0.711,0.35,0.107,0.004134
2.92,0.718,0.35,0.106,0.004176
2.94,0.725,0.35,0.118,0.004217
2.96,0.732,0.36,0.132,0.004258
2.98,0.74,0.36,0.12,0.004299
3,0.747,0.36,0.107,0.004341
3.02,0.754,0.36,0.105,0.004385
3.04,0.761,0.37,0.132,0.004425
3.06,0.769,0.37,0.113,0.004469
3.08,0.776,0.37,0.159,0.004512
3.1,0.783,0.37,0.247,0.004555
3.12,0.791,0.38,0.196,0.004599
3.14,0.798,0.39,-0.06,0.004641
3.16,0.807,0.38,-0.305,0.004694
3.18,0.814,0.37,-0.166,0.004731
3.2,0.821,0.37,0.15,0.004774
3.22,0.829,0.38,0.316,0.004818
3.24,0.836,0.38,0.27,0.004863
3.26,0.844,0.39,0.19,0.004907
3.28,0.852,0.39,0.194,0.004952
3.3,0.86,0.4,0.174,0.004998
3.32,0.868,0.4,0.113,0.005045
3.34,0.876,0.4,0.061,0.005091
3.36,0.884,0.4,0.044,0.005138
3.38,0.892,0.4,0.048,0.005185
3.4,0.9,0.4,0.228,0.005231
3.42,0.908,0.4,0.434,0.005279
3.44,0.916,0.43,0.349,0.005326
3.46,0.924,0.43,-0.067,0.005372
3.48,0.935,0.42,-0.283,0.005435
3.5,0.941,0.4,0.187,0.00547
3.52,0.949,0.42,0.907,0.005519
3.54,0.958,0.45,1.02,0.00557
3.56,0.968,0.48,0.221,0.005628
3.58,0.976,0.47,-0.806,0.005677
3.6,0.988,0.43,-0.912,0.005746
3.62,0.994,0.4,0.191,0.005778
3.64,1.002,0.43,0.874,0.005827
3.66,1.011,0.49,0.237,0.005877
3.68,1.023,0.45,-0.743,0.005949
3.7,1.031,0.41,-0.475,0.005996
3.72,1.036,0.42,0.407,0.006023
3.74,1.048,0.46,0.093,0.006092
3.76,1.057,0.45,-0.883,0.006145
3.78,1.066,0.39,-1.046,0.006197
3.8,1.072,0.38,-0.036,0.006231
3.82,1.08,0.41,0.854,0.00628
3.84,1.089,0.43,0.934,0.00633
3.86,1.098,0.45,0.607,0.006382
3.88,1.106,0.46,0.229,0.006432
3.9,1.116,0.46,-0.102,0.006489
3.92,1.125,0.45,-0.322,0.006541
3.94,1.134,0.44,-0.282,0.006592
3.96,1.143,0.43,-0.024,0.006643
3.98,1.151,0.44,0.288,0.006692
4,1.16,0.45,0.48,0.006743
4.02,1.169,0.46,0.275,0.006797
4.04,1.178,0.47,-0.138,0.006851
4.06,1.188,0.45,-0.25,0.006906
4.08,1.197,0.44,0.158,0.006962
4.1,1.204,0.46,0.645,0.006998
4.12,1.215,0.48,0.535,0.007066
4.14,1.225,0.49,0.17,0.00712
4.16,1.234,0.48,-0.014,0.007175
4.18,1.244,0.48,0.009,0.007231
4.2,1.254,0.48,-0.026,0.007288
4.22,1.263,0.48,-0.176,0.007344
4.24,1.273,0.47,-0.159,0.0074